sex,age,typtrai,wstatus,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
M,Y15-29,NO_FED_NFE,NEMP,PC,ES	10.9 	10.6 b	11.2 	11.1 b	11.0 	10.9 b	9.9 b	9.9 	14.0 	20.4 	20.3 	20.8 	22.8 	22.8 	20.5 b	19.2 	17.4 	15.7 
M,Y15-29,NO_FED_NFE,NEMP,PC,EU27	11.8 	11.6 	12.2 	12.5 b	12.3 	11.9 	11.0 b	10.2 	10.2 	12.7 	13.3 	13.4 	14.0 	14.0 	13.5 	13.0 	12.2 	11.4 
M,Y15-29,NO_FED_NFE,NEMP,PC,EU28	: 	: 	12.2 	12.6 b	12.3 	11.9 	11.0 b	10.2 	10.2 	12.7 	13.3 	13.5 	14.0 	14.1 	13.6 	13.0 	12.3 	11.5 
M,Y15-29,NO_FED_NFE,NEMP,PC,FI	9.8 	8.3 	9.1 	9.3 b	9.0 	8.0 	7.4 	6.6 	7.4 	10.4 	9.6 	9.1 	9.4 	10.4 	11.8 	11.6 	11.2 	10.3 
M,Y15-29,NO_FED_NFE,NEMP,PC,FR	9.9 	9.1 	10.4 	10.5 b	10.8 	11.0 	11.0 	10.7 	10.6 	13.5 	13.3 	12.9 	13.8 	12.3 b	13.1 b	13.5 	13.1 	13.0 
M,Y15-29,NO_FED_NFE,NEMP,PC,HR	: 	: 	19.2 	18.8 b	16.6 	16.8 b	14.2 b	12.9 	10.9 	12.6 	18.0 	19.3 	20.0 	22.5 	22.4 	20.5 	19.5 	16.7 
M,Y15-29,NO_FED_NFE,NEMP,PC,HU	13.4 	13.0 b	12.9 	12.1 b	11.6 	11.9 	11.9 b	10.9 	11.2 	14.1 	14.4 	13.7 	15.3 	14.5 	12.2 	11.1 b	9.6 	7.9 
M,Y15-29,NO_FED_NFE,NEMP,PC,IE	: 	: 	12.2 	10.4 	10.4 b	9.6 	9.0 b	9.9 b	15.5 	22.0 	23.1 	23.8 	23.0 	19.0 	17.5 	16.4 	14.4 	11.9 b
M,Y15-29,NO_FED_NFE,NEMP,PC,IS	: u	: u	5.6 	5.1 bu	4.3 	4.3 	3.4 	3.3 	3.9 	10.5 b	9.1 	7.4 	7.6 	6.9 	7.2 	5.6 	4.3 	3.4 
M,Y15-29,NO_FED_NFE,NEMP,PC,IT	16.4 	15.9 	15.0 	14.9 	15.0 b	15.6 	15.3 b	15.2 	15.6 	17.5 	19.3 	20.0 	21.7 	24.5 	24.8 	24.2 	22.4 	22.4 
M,Y15-29,NO_FED_NFE,NEMP,PC,LT	20.4 	19.9 	15.1 b	13.4 	11.4 b	9.5 	9.3 b	8.2 	11.1 	16.3 	19.3 	15.9 	14.8 	13.2 	11.5 	10.7 	10.8 	9.8 
M,Y15-29,NO_FED_NFE,NEMP,PC,LU	3.4 u	4.8 	3.5 u	3.8 b	5.4 	4.2 	5.9 b	5.7 b	7.0 	6.2 b	5.1 	5.0 	6.2 	6.7 	7.4 	6.5 b	5.4 	6.4 
M,Y15-29,NO_FED_NFE,NEMP,PC,LV	: 	: 	14.2 	12.2 b	12.0 	10.0 	9.4 b	10.0 	10.5 	20.9 	20.5 	17.9 	16.0 	13.9 	12.6 	12.2 	12.9 	11.1 
M,Y15-29,NO_FED_NFE,NEMP,PC,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23.7 	23.3 	23.9 	22.5 	22.8 	21.6 	20.3 
M,Y15-29,NO_FED_NFE,NEMP,PC,MK	: 	: 	: 	: 	: 	: 	40.4 	34.7 b	31.2 	28.6 	28.6 	28.6 	30.2 	28.1 	27.8 	29.9 	28.7 	26.7 
M,Y15-29,NO_FED_NFE,NEMP,PC,MT	21.1 	12.5 	13.7 	14.7 	10.1 b	9.9 b	9.3 b	10.7 	7.0 	8.9 	8.4 	9.4 	9.1 	9.4 	9.0 	9.0 	6.2 	6.9 b
M,Y15-29,NO_FED_NFE,NEMP,PC,NL	2.9 	3.2 	4.0 	5.0 b	5.3 	5.3 	4.3 b	3.5 	3.3 	4.4 	5.1 b	5.0 	5.5 	6.9 b	6.5 	5.8 	5.7 	5.2 
