wstatus,indic_il,age,sex,geo\time	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 
RET,LI_R_MD60,Y_GE18,T,DE	12.4 	17.0 	15.0 	14.9 	13.4 	14.0 	15.1 	15.0 	16.7 	17.0 	18.0 	17.5 
RET,LI_R_MD60,Y_GE18,T,DK	15.5 	16.6 	16.5 	19.1 	16.6 	12.6 b	12.6 	10.0 	10.2 	8.8 	8.8 	8.6 
RET,LI_R_MD60,Y_GE18,T,EA18	15.1 	15.9 	15.0 	14.4 	12.5 	12.8 	12.5 	11.9 	11.8 	12.0 	12.8 	: 
RET,LI_R_MD60,Y_GE18,T,EA19	15.2 	16.0 	15.2 	14.5 	12.5 	12.8 	12.6 	12.0 	11.9 	12.2 	13.0 	: 
RET,LI_R_MD60,Y_GE18,T,EE	28.6 	37.1 	43.3 	37.9 	17.9 	14.9 	19.6 	27.1 	35.6 b	40.1 	45.0 	46.1 
RET,LI_R_MD60,Y_GE18,T,EL	24.3 	21.5 	20.3 	18.4 	19.0 	19.9 	14.3 	12.4 	11.5 	10.8 	9.7 	9.5 
RET,LI_R_MD60,Y_GE18,T,ES	22.3 	20.3 	20.6 b	19.2 	16.5 	15.6 	12.3 	10.5 	9.0 	10.2 	11.2 	12.7 
RET,LI_R_MD60,Y_GE18,T,EU27	15.9 e	16.6 	16.3 	15.6 	13.8 	13.9 	13.1 	12.5 	12.6 	13.1 	13.7 	: 
RET,LI_R_MD60,Y_GE18,T,EU28	: 	: 	: 	: 	13.9 	14.0 	13.2 	12.6 	12.7 	13.2 	13.8 	: 
RET,LI_R_MD60,Y_GE18,T,FI	20.0 	20.5 	21.8 	21.7 	17.0 	17.5 	17.6 	15.8 	15.3 	13.5 	12.0 	11.9 
RET,LI_R_MD60,Y_GE18,T,FR	13.0 	10.2 	9.5 b	9.7 	7.5 	8.3 	8.7 	8.3 	7.5 	7.1 	7.0 	7.0 
RET,LI_R_MD60,Y_GE18,T,HR	: 	: 	: 	: 	24.4 b	23.3 	20.7 	18.4 	18.9 	22.0 	21.8 	: 
RET,LI_R_MD60,Y_GE18,T,HU	11.7 	8.1 	6.8 	4.0 	4.0 	4.6 	5.5 	5.6 	4.8 	5.0 	7.1 	9.1 
RET,LI_R_MD60,Y_GE18,T,IE	25.3 	26.9 	18.0 	15.5 	10.5 	9.6 	12.5 	11.6 	12.0 	15.9 	16.1 	: 
RET,LI_R_MD60,Y_GE18,T,IS	13.5 	18.8 	17.9 	14.8 	6.3 	4.6 	3.8 	3.4 	8.3 	7.3 	9.9 p	: 
RET,LI_R_MD60,Y_GE18,T,IT	15.8 	15.8 	15.0 	13.9 	12.5 	13.0 	12.6 	11.6 	10.4 	11.0 	12.8 	12.7 
RET,LI_R_MD60,Y_GE18,T,LT	22.7 	29.8 	32.2 	26.2 	12.6 	12.1 	20.8 	22.7 	22.0 	27.6 	30.6 	36.7 
RET,LI_R_MD60,Y_GE18,T,LU	6.4 	8.3 	4.9 	5.5 	5.4 	3.9 	5.3 	5.0 	3.9 	5.8 	8.0 b	: 
RET,LI_R_MD60,Y_GE18,T,LV	35.4 	39.9 	56.2 	51.7 	19.6 	10.8 	15.8 	18.8 	29.4 	36.7 	41.9 	43.7 
RET,LI_R_MD60,Y_GE18,T,MK	: 	: 	: 	: 	: 	: 	14.1 	10.9 	8.4 	7.3 	7.1 	: 
RET,LI_R_MD60,Y_GE18,T,MT	23.7 	23.3 	23.8 	20.3 	17.9 	17.2 	16.3 	14.3 	15.3 	18.1 	21.0 	21.8 
RET,LI_R_MD60,Y_GE18,T,NL	5.4 	8.5 	8.3 	6.7 	5.7 	6.4 	5.5 	5.9 	7.4 	6.2 	9.8 b	10.8 
RET,LI_R_MD60,Y_GE18,T,NO	17.3 	13.5 	13.8 	13.0 	12.7 	11.9 	9.9 	10.7 	10.7 	10.1 	10.1 	12.7 
RET,LI_R_MD60,Y_GE18,T,PL	6.8 	6.4 	9.6 	12.3 	12.8 	13.2 	12.5 	11.1 	10.6 	11.1 	12.3 	13.3 
RET,LI_R_MD60,Y_GE18,T,PT	22.9 	23.1 	20.1 	17.4 	18.5 	17.9 	15.9 	12.8 	12.9 	14.4 	16.0 	15.1 
RET,LI_R_MD60,Y_GE18,T,RO	: 	22.2 	19.1 	15.7 	12.9 	10.1 	10.7 	11.2 	12.7 	15.8 	15.9 	16.1 
RET,LI_R_MD60,Y_GE18,T,RS	: 	: 	: 	: 	: 	: 	: 	14.4 	15.4 	15.2 	15.4 	: 
RET,LI_R_MD60,Y_GE18,T,SE	11.3 	9.5 	15.3 b	16.2 	14.3 	16.7 	16.7 	15.9 	14.4 	17.2 	17.9 	16.2 
RET,LI_R_MD60,Y_GE18,T,SI	16.8 	16.5 	17.9 	17.4 	18.3 	18.4 	17.0 	17.5 	15.0 	15.9 	16.9 	15.9 
RET,LI_R_MD60,Y_GE18,T,SK	8.1 	8.0 	9.7 	8.9 	6.7 	6.3 	7.7 	6.6 	6.7 	6.2 	6.0 	: 
RET,LI_R_MD60,Y_GE18,T,TR	3.9 	3.6 	3.1 	3.7 	3.1 	4.3 	3.8 	3.1 	3.6 	4.5 	: 	: 
RET,LI_R_MD60,Y_GE18,T,UK	26.3 	27.7 	28.4 	24.0 	22.9 	23.1 	17.6 b	17.6 	18.8 	18.3 	18.4 	: 
