unit,age,icd10,sex,geo\time	2011 	2012 	2013 	2014 	2015 
RT,TOTAL,X60-X84_Y870,T,IS	8.85 	11.61 	17.1 	13.98 	13.06 
RT,TOTAL,X60-X84_Y870,T,IT	6.51 	6.68 	6.64 	6.32 	6.07 
RT,TOTAL,X60-X84_Y870,T,LI	13.34 	9.64 	7.48 	10.22 	2.49 
RT,TOTAL,X60-X84_Y870,T,LT	33.38 	30.69 	36.12 	31.51 	30.28 
RT,TOTAL,X60-X84_Y870,T,LU	11.48 	10.69 	9.29 	13.36 	13.91 
RT,TOTAL,X60-X84_Y870,T,LV	21.23 	21.82 	19.05 	18.96 	19.34 
RT,TOTAL,X60-X84_Y870,T,MT	4.49 	6.4 	5.05 	8.26 	7.64 
RT,TOTAL,X60-X84_Y870,T,NL	10.01 	10.66 	11.32 	11.12 	11.28 
RT,TOTAL,X60-X84_Y870,T,NO	12.49 	10.62 	11.25 	10.97 	11.71 
RT,TOTAL,X60-X84_Y870,T,PL	16.04 	16.71 	16.35 	15.51 	14.24 
RT,TOTAL,X60-X84_Y870,T,PT	9.51 	9.98 	9.78 	11.28 	10.38 
RT,TOTAL,X60-X84_Y870,T,RO	13 	12.67 	12.23 	11.33 	11.43 
RT,TOTAL,X60-X84_Y870,T,RS	17.95 	17.28 	16.81 	15.88 	15.03 
RT,TOTAL,X60-X84_Y870,T,SE	11.99 	12.39 	13.03 	12.12 	12.33 
RT,TOTAL,X60-X84_Y870,T,SI	21.71 	21.53 	21.7 	18.87 	20.72 
RT,TOTAL,X60-X84_Y870,T,SK	10.6 	11.12 	12.07 	10.76 	9.19 
RT,TOTAL,X60-X84_Y870,T,TR	1.78 d	2.12 d	2.73 d	2.4 d	2.18 d
RT,TOTAL,X60-X84_Y870,T,UK	6.71 d	7.22 d	7.36 	7.08 	7.35 
